=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.28 10:47:00 =~=~=~=~=~=~=~=~=~=~=~=
Time,X,Y,Z,Sound
13531,9.59,0.53,-2.03,2.53
13560,9.63,0.56,-2.00,2.53
13589,9.59,0.57,-1.98,2.53
13619,9.58,0.54,-1.91,2.53
13647,9.60,0.55,-2.08,2.53
13677,9.63,0.54,-1.97,2.53
13706,9.58,0.53,-1.92,2.53
13735,9.58,0.54,-2.12,2.53
13764,9.57,0.51,-1.97,2.53
13793,9.61,0.56,-1.98,2.52
13822,9.55,0.52,-1.91,2.53
13851,9.58,0.55,-1.97,2.53
13881,9.59,0.51,-2.00,2.53
13910,9.58,0.50,-1.98,2.53
13939,9.62,0.58,-1.90,2.53
13968,9.57,0.58,-1.92,2.53
13998,9.63,0.54,-1.90,2.53
14026,9.61,0.54,-1.88,2.53
14055,9.60,0.59,-1.95,2.53
14085,9.64,0.55,-2.06,2.53
14113,9.53,0.55,-1.93,2.53
14143,9.55,0.55,-2.00,2.53
14172,9.69,0.52,-1.96,2.52
14201,9.59,0.58,-1.96,2.53
14230,9.58,0.58,-2.02,2.52
14259,9.62,0.53,-2.00,2.53
14288,9.62,0.53,-1.93,2.53
14317,9.58,0.56,-1.96,2.53
14347,9.59,0.54,-1.89,2.53
14375,9.56,0.50,-1.99,2.53
14405,9.59,0.53,-1.98,2.53
14434,9.61,0.55,-1.97,2.53
14462,9.60,0.59,-1.95,2.53
14492,9.61,0.59,-1.95,2.53
14521,9.65,0.50,-1.94,2.53
14551,9.63,0.51,-1.98,2.53
14579,9.52,0.50,-1.99,2.53
14609,9.60,0.57,-1.94,2.53
14638,9.61,0.51,-1.95,2.53
14667,9.58,0.56,-1.95,2.52
14696,9.62,0.55,-1.94,2.52
14725,9.58,0.47,-1.91,2.53
14754,9.49,0.51,-1.96,2.53
14783,9.62,0.58,-1.96,2.53
14813,9.61,0.58,-2.03,2.52
14841,9.56,0.49,-1.89,2.53
14871,9.60,0.55,-2.04,2.53
14900,9.63,0.55,-2.05,2.53
14929,9.59,0.57,-1.93,2.53
14958,9.61,0.52,-1.98,2.53
14987,9.67,0.53,-1.96,2.53
15016,9.57,0.55,-1.97,2.53
15045,9.57,0.49,-1.99,2.53
15075,9.59,0.58,-2.02,2.53
15104,9.58,0.54,-1.94,2.53
15133,9.56,0.56,-1.92,2.53
15162,9.57,0.52,-2.05,2.53
15191,9.53,0.57,-1.91,2.53
15220,9.52,0.57,-1.95,2.52
15249,9.49,0.57,-1.98,2.52
15279,9.58,0.56,-2.01,2.53
15307,9.53,0.51,-1.90,2.53
15337,9.61,0.52,-1.98,2.53
15366,9.56,0.58,-1.95,2.52
15395,9.61,0.58,-1.91,2.53
15424,9.61,0.54,-2.02,2.53
15453,9.62,0.51,-2.00,2.53
15482,9.56,0.58,-1.96,2.53
15511,9.61,0.49,-1.95,2.53
15541,9.59,0.53,-1.99,2.53
15569,9.59,0.55,-1.99,2.53
15599,9.63,0.49,-1.93,2.53
15628,9.56,0.52,-1.99,2.53
15656,9.56,0.57,-1.99,2.53
15686,9.58,0.52,-1.95,2.53
15715,9.64,0.55,-2.04,2.53
15745,9.61,0.51,-2.00,2.53
15773,9.60,0.57,-1.93,2.53
15803,9.52,0.58,-1.96,2.53
15832,9.66,0.49,-2.00,2.53
15861,9.58,0.53,-1.94,2.53
15890,9.58,0.52,-1.92,2.52
15919,9.59,0.55,-1.88,2.53
15948,9.59,0.53,-1.99,2.53
15977,9.57,0.53,-1.88,2.53
16007,9.65,0.49,-1.99,2.53
16035,9.60,0.52,-1.99,2.53
16065,9.58,0.54,-1.90,2.53
16094,9.61,0.53,-2.00,2.53
16122,9.63,0.59,-2.01,2.53
16152,9.62,0.54,-1.99,2.53
16181,9.63,0.50,-1.98,2.53
16210,9.61,0.56,-1.84,2.53
16239,9.59,0.55,-1.99,2.53
16269,9.53,0.56,-1.92,2.53
16297,9.53,0.56,-1.92,2.53
