Time,X,Y,Z,Sound
13718,7.86,-2.58,-0.54,2.55
13749,9.95,-1.75,-2.97,2.54
13778,8.56,-3.66,-3.17,2.54
13809,9.23,-2.50,1.17,2.54
13838,10.01,-0.98,-1.37,2.54
13870,6.69,-0.28,-8.40,2.54
13899,3.54,-1.04,-4.27,2.53
13929,5.95,0.06,-1.91,2.54
13959,11.25,-2.51,0.78,2.52
13988,9.82,-5.02,-0.38,2.55
14019,11.70,-4.33,-2.08,2.55
14050,8.82,-0.89,-0.65,2.54
14081,10.03,-1.07,-3.13,2.53
14111,9.13,1.88,-0.41,2.55
14141,12.04,-1.13,-1.59,2.54
14172,10.81,-1.26,-3.06,2.54
14203,11.58,-0.22,-0.92,2.54
14234,8.45,-1.31,-1.76,2.54
14265,7.95,-0.96,-1.40,2.55
14295,8.40,-3.07,-4.10,2.53
14324,12.11,-4.34,-0.50,2.55
14356,8.80,-0.06,-3.32,2.55
14386,5.06,-0.98,-6.26,2.54
14416,8.71,-0.24,-2.10,2.55
14446,13.80,-2.12,3.75,2.53
14477,13.59,-2.87,-4.02,2.54
14508,4.24,-3.08,-2.83,2.53
14538,8.34,-1.00,-3.41,2.53
14568,9.85,-4.34,-4.16,2.54
14599,7.90,-4.64,-4.71,2.54
14628,6.67,1.10,-2.03,2.53
14657,9.65,-4.66,-4.31,2.52
14688,8.37,-0.30,-1.71,2.54
14717,5.52,-0.65,-2.15,2.54
14748,6.75,-3.73,-4.34,2.54
14778,6.34,-5.41,-1.01,2.54
14809,12.19,-0.72,0.02,2.53
14838,10.67,-0.15,0.64,2.54
14869,3.06,-2.20,-4.13,2.52
14899,12.44,-3.63,0.37,2.53
14929,14.44,-0.71,3.23,2.52
14959,11.56,-2.86,-0.36,2.54
14990,7.39,2.05,-3.11,2.54
15020,10.17,-4.31,-1.75,2.54
15050,12.71,-1.33,-2.56,2.54
15082,9.52,-1.33,-0.07,2.54
15112,9.29,-0.09,-2.28,2.54
15142,8.53,-4.06,-6.34,2.54
15172,7.25,-3.09,-0.58,2.53
15203,9.40,-3.16,1.09,2.54
15232,7.49,-6.24,-8.46,2.53
15262,11.44,-2.65,-0.96,2.55
15293,7.93,-3.03,0.77,2.53
15322,6.25,-1.27,-3.70,2.53
15352,9.41,-6.33,-5.12,2.53
15382,14.12,-0.50,6.33,2.53
15413,12.43,0.93,3.89,2.54
15441,13.30,-1.78,-2.11,2.53
15473,6.95,-3.65,-3.28,2.52
15503,3.50,1.47,-5.84,2.54
15533,10.92,-2.89,-2.86,2.53
15563,9.36,-2.99,-1.85,2.53
15593,13.12,-1.75,-1.77,2.56
15625,9.79,-2.03,1.32,2.54
15653,9.65,-0.39,0.84,2.54
15683,10.69,-2.52,-0.12,2.55
15714,7.95,1.34,0.00,2.54
15742,12.49,-2.86,-0.78,2.53
15773,7.62,1.76,-0.80,2.54
15803,8.21,-1.15,-1.76,2.53
15833,9.26,-5.16,-6.27,2.54
15863,6.89,-2.60,-2.75,2.53
15893,11.95,-1.24,-1.57,2.54
15924,8.02,-1.39,-1.22,2.54
15954,10.19,0.41,-0.36,2.53
15984,9.73,-6.17,-2.64,2.53
16015,9.64,-3.46,-7.36,2.54
16045,4.82,-0.33,-6.75,2.54
16075,8.98,-3.31,-1.36,2.54
16105,13.15,-1.63,0.99,2.53
16136,9.30,-3.18,-2.75,2.54
16165,10.64,-5.66,-3.64,2.54
16197,10.21,-7.47,-5.04,2.53
16228,8.13,-0.21,-3.65,2.54
16258,8.68,-2.54,-2.11,2.54
16288,12.44,-3.39,-0.94,2.54
16319,7.27,-4.21,-2.30,2.55
16350,10.71,-4.19,-1.66,2.53
16380,9.80,-0.05,-0.23,2.54
16411,8.79,-1.82,-1.61,2.54
16441,7.86,-0.96,-0.87,2.52
16472,6.24,-2.04,-3.87,2.55
16501,5.72,0.48,-6.77,2.53
16531,4.59,-0.99,-5.38,2.54
16561,10.51,-2.06,-3.13,2.54
16591,4.50,-0.92,-5.23,2.54
16622,8.50,-2.70,0.63,2.53
16651,7.35,-1.41,-2.60,2.54
16681,8.05,0.31,0.88,2.54
16709,6.69,-2.35,-4.49,2.54
16740,6.99,-2.73,-5.86,2.54
16770,8.81,-3.98,-4.31,2.54
16800,9.37,-0.93,1.46,2.53
16829,10.91,-1.07,-3.15,2.54
16861,9.82,-3.04,-1.48,2.55
16890,9.49,-1.37,-2.71,2.54
16920,6.41,-3.75,-5.90,2.54
16951,7.40,-4.66,0.46,2.54
16979,10.83,-0.89,-1.48,2.55
17011,12.25,-0.12,3.84,2.53
17041,11.84,-0.23,2.76,2.54
17072,8.37,-0.48,-2.72,2.53
17101,8.50,-4.62,-3.82,2.55
17132,9.21,-1.62,-2.21,2.55
17162,11.23,-2.79,-1.65,2.55
17193,7.88,0.50,-3.56,2.55
17222,9.88,-0.11,-1.07,2.54
17252,9.82,-1.63,-2.01,2.55
17283,12.84,1.02,-0.35,2.54
17312,9.49,-0.48,-0.11,2.53
17343,10.26,0.63,-1.18,2.54
17373,6.71,-0.64,-4.39,2.55
17403,9.94,1.87,-4.04,2.55
17432,12.74,-2.18,-6.10,2.54
17464,10.14,-2.09,0.71,2.54
17494,9.62,-1.64,-1.27,2.54
17523,8.58,-0.45,-2.80,2.55
17554,8.84,-0.26,-1.40,2.55
17584,9.33,-1.94,-3.88,2.54
17614,10.39,1.06,-0.75,2.55
17644,11.08,-1.24,-0.31,2.55
17676,7.27,-1.56,-2.21,2.54
17705,10.36,-2.93,-4.40,2.55
17737,10.32,-3.66,-2.20,2.51
17768,11.00,2.16,0.69,2.54
17798,10.72,-3.80,0.82,2.54
17827,7.76,0.21,-1.37,2.53
17856,12.41,-2.47,0.95,2.53
17887,12.22,0.87,-1.81,2.55
17916,7.34,-2.43,-0.04,2.54
17947,12.16,-4.89,-0.28,2.55
17978,8.74,1.19,-6.18,2.54
18008,9.41,-1.52,-7.76,2.54
18037,7.30,-2.79,-5.15,2.53
18068,9.34,1.18,-0.80,2.54
18097,11.23,-1.97,-1.94,2.54
18128,12.93,-6.84,-6.44,2.55
18159,8.35,-2.81,-5.32,2.53
18189,15.97,-2.04,-5.89,2.53
18221,9.50,-1.21,-3.09,2.55
